# ID	Category
repeat_region	repetitive
BQ2027_MB0097C	repetitive
repeat_region	repetitive
BQ2027_MB0343	repetitive
BQ2027_MB0399	repetitive
BQ2027_MB0403	repetitive
BQ2027_MB0528	repetitive
BQ2027_MB1159C	repetitive
repeat_region	repetitive
BQ2027_MB1179C	repetitive
repeat_region	repetitive
BQ2027_MB1413C	repetitive
BQ2027_MB1613C	repetitive
repeat_region	repetitive
BQ2027_MB1614C	repetitive
repeat_region	repetitive
BQ2027_MB1728C	repetitive
BQ2027_MB1980	repetitive
repeat_region	repetitive
BQ2027_MB2126	repetitive
BQ2027_MB3101	repetitive
repeat_region	repetitive
BQ2027_MB3496	repetitive
BQ2027_MB1794C	repetitive
BQ2027_MB2038C	repetitive
BQ2027_MB2496C	repetitive
pks12	repetitive

